epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1046.54,1.05726,0.77598,1.44236,1,0.95941,0.995,0.73207,0.94563,0.98819,1.10624,0.0003565,0.0003565,0.0003565
67,1054.86,1.00154,0.79508,1.16825,1,0.95941,0.995,0.73207,0.94563,0.98819,1.10624,0.0003466,0.0003466,0.0003466
68,1064.8,0.94225,0.70847,1.09557,1,0.96751,0.995,0.7594,0.92879,0.88791,1.09711,0.0003367,0.0003367,0.0003367
69,1088.26,1.08936,0.81979,1.50415,1,0.96751,0.995,0.7594,0.92879,0.88791,1.09711,0.0003268,0.0003268,0.0003268
70,1096.94,1.07326,0.75549,1.08975,0.98287,1,0.995,0.75018,0.94964,0.7602,1.11539,0.0003169,0.0003169,0.0003169
71,1111.33,0.79405,0.64908,1.08448,0.98287,1,0.995,0.75018,0.94964,0.7602,1.11539,0.000307,0.000307,0.000307
72,1123.63,0.92611,0.72978,1.13838,0.99388,1,0.995,0.72745,0.99382,0.65754,1.14007,0.0002971,0.0002971,0.0002971
73,1136.49,0.86827,0.65925,1.17452,0.99388,1,0.995,0.72745,0.99382,0.65754,1.14007,0.0002872,0.0002872,0.0002872
74,1149.14,0.76734,0.64071,1.18829,0.99654,1,0.995,0.72582,1.00647,0.62063,1.14077,0.0002773,0.0002773,0.0002773
75,1157.44,0.94969,0.66962,1.09497,0.99654,1,0.995,0.72582,1.00647,0.62063,1.14077,0.0002674,0.0002674,0.0002674
76,1176.84,0.88831,0.77903,1.22828,0.99659,1,0.995,0.72407,1.0631,0.61462,1.1872,0.0002575,0.0002575,0.0002575
77,1205.83,0.93583,0.82175,1.32596,0.99659,1,0.995,0.72407,1.0631,0.61462,1.1872,0.0002476,0.0002476,0.0002476
78,1224.55,0.8344,0.62026,1.11269,0.99732,1,0.995,0.70143,1.11704,0.6462,1.24479,0.0002377,0.0002377,0.0002377
79,1267.01,0.8213,0.65776,1.22513,0.99732,1,0.995,0.70143,1.11704,0.6462,1.24479,0.0002278,0.0002278,0.0002278
80,1311.29,1.13011,0.80856,1.24457,0.99711,1,0.995,0.69796,1.10831,0.63021,1.25452,0.0002179,0.0002179,0.0002179
81,1328.11,0.90842,0.66086,1.08757,0.99711,1,0.995,0.69796,1.10831,0.63021,1.25452,0.000208,0.000208,0.000208
82,1335.41,1.26401,0.74138,1.17726,0.9965,1,0.995,0.69298,1.08456,0.62647,1.24176,0.0001981,0.0001981,0.0001981
83,1348.16,0.79522,0.55371,1.07149,0.9965,1,0.995,0.69298,1.08456,0.62647,1.24176,0.0001882,0.0001882,0.0001882
84,1363.86,0.98023,0.75502,1.28923,0.99599,1,0.995,0.73623,1.02398,0.63991,1.19049,0.0001783,0.0001783,0.0001783
85,1375.79,1.04983,0.70887,1.21912,0.99599,1,0.995,0.73623,1.02398,0.63991,1.19049,0.0001684,0.0001684,0.0001684
86,1390.26,0.84205,0.67342,1.20264,0.99569,1,0.995,0.74689,0.94001,0.61776,1.13315,0.0001585,0.0001585,0.0001585
87,1398.79,0.90597,0.64152,1.10846,0.99569,1,0.995,0.74689,0.94001,0.61776,1.13315,0.0001486,0.0001486,0.0001486
88,1442.02,0.91151,0.73291,1.15465,0.99574,1,0.995,0.76473,0.88204,0.61316,1.09464,0.0001387,0.0001387,0.0001387
89,1453.59,0.78124,0.63444,1.0403,0.99574,1,0.995,0.76473,0.88204,0.61316,1.09464,0.0001288,0.0001288,0.0001288
90,1463.02,0.96819,0.68195,1.00914,0.99608,1,0.995,0.77814,0.85175,0.57868,1.06753,0.0001189,0.0001189,0.0001189
91,1482.97,0.77166,0.66469,1.21235,0.99608,1,0.995,0.77814,0.85175,0.57868,1.06753,0.000109,0.000109,0.000109
92,1502.73,0.82582,0.63323,1.30412,0.99631,1,0.995,0.78777,0.81928,0.56406,1.03925,9.91e-05,9.91e-05,9.91e-05
93,1511.72,0.88354,0.65463,1.08792,0.99631,1,0.995,0.78777,0.81928,0.56406,1.03925,8.92e-05,8.92e-05,8.92e-05
94,1526.37,0.74433,0.60201,1.01446,0.99666,1,0.995,0.7758,0.82071,0.55601,1.03423,7.93e-05,7.93e-05,7.93e-05
95,1550.77,0.82926,0.63181,1.19367,0.99666,1,0.995,0.7758,0.82071,0.55601,1.03423,6.94e-05,6.94e-05,6.94e-05
96,1575.09,0.83375,0.64972,1.26141,0.99679,1,0.995,0.77363,0.81632,0.55294,1.02672,5.95e-05,5.95e-05,5.95e-05
97,1589.39,0.99646,0.71178,1.1476,0.99679,1,0.995,0.77363,0.81632,0.55294,1.02672,4.96e-05,4.96e-05,4.96e-05
98,1605.6,0.70405,0.62834,1.07752,0.99687,1,0.995,0.77332,0.81786,0.54782,1.0266,3.97e-05,3.97e-05,3.97e-05
99,1613.95,0.86328,0.60308,1.03518,0.99687,1,0.995,0.77332,0.81786,0.54782,1.0266,2.98e-05,2.98e-05,2.98e-05
100,1643.47,0.87397,0.7481,1.33313,0.99695,1,0.995,0.77322,0.81324,0.5459,1.0233,1.99e-05,1.99e-05,1.99e-05
1,102.434,2.32847,3.20985,3.23363,0.81251,0.22727,0.37085,0.16642,2.09481,2.4119,2.57318,0.09801,1e-05,1e-05
